Year,Author,Novel
1969,John Brunner*,Stand on Zanzibar
1970,John Brunner*,The Jagged Orbit
1971,Brian W. Aldiss*,The Moment of Eclipse
1973,Arthur C. Clarke*,Rendezvous with Rama
1974,Christopher Priest*,Inverted World
1975,Bob Shaw*,Orbitsville
1976,Michael G. Coney*,Brontomek!
1977,Ian Watson*,The Jonah Kit
1978,Philip K. Dick*,A Scanner Darkly
1979,J. G. Ballard*,The Unlimited Dream Company
1979,Rob Swigart,A.K.A.: A Cosmic Fable
1979,Tom Reamy,Blind Voices
1979,Arthur C. Clarke,The Fountains of Paradise
1979,Thomas M. Disch,On Wings of Song
1980,Gregory Benford*,Timescape
1980,Frederik Pohl,Beyond the Blue Event Horizon
1980,John Crowley,Engine Summer
1980,Keith Roberts,Molly Zero
1980,Michael Bishop,Transfigurations
1980,Norman Spinrad,A World Between
1981,Gene Wolfe*,The Shadow of the Torturer
1981,Christopher Priest,The Affirmation
1981,J. G. Ballard,Hello America
1981,Robert Holdstock,Where Time Winds Blow
1982,Brian W. Aldiss*,Helliconia Spring
1982,Philip K. Dick,The Divine Invasion
1982,John Crowley,"Little, Big"
1982,Michael Bishop,No Enemy But Time
1982,Gene Wolfe,The Sword of the Lictor
1983,John Sladek*,Tik-Tok
1983,Michael G. Coney,Cat Karina
1983,Gene Wolfe,The Citadel of the Autarch
1983,Mary Gentle,Golden Witchbreed
1983,Brian W. Aldiss,Helliconia Summer
1984,Robert Holdstock*,Mythago Wood
1984,J. G. Ballard,Empire of the Sun
1984,Christopher Priest,The Glamour
1984,William Gibson,Neuromancer
1984,Angela Carter,Nights at the Circus
1985,Brian W. Aldiss*,Helliconia Winter
1985,Tim Powers,The Anubis Gates
1985,Gene Wolfe,Free Live Free
1985,Keith Roberts,Kiteworld
1985,Geoff Ryman,The Warrior Who Carried Life
1986,Bob Shaw*,The Ragged Astronauts
1986,Greg Bear,Blood Music
1986,William Gibson,Count Zero
1986,Josephine Saxton,Queen of the States
1986,Bruce Sterling,Schismatrix
1987,Keith Roberts*,Gráinne
1988,Robert Holdstock*,Lavondyss
1988,Iain M. Banks,The Player of Games
1988,William Gibson,Mona Lisa Overdrive
1988,Gwyneth Jones,Kairos
1988,Bob Shaw,The Wooden Spaceships
1988,Lucius Shepard,Life During Wartime
1989,Terry Pratchett*,Pyramids
1989,Jonathan Carroll,A Child Across the Sky
1989,Geoff Ryman,The Child Garden
1989,C. J. Cherryh,Cyteen
1989,Kim Stanley Robinson,The Gold Coast
1990,Colin Greenland*,Take Back Plenty
1990,William Gibson & Bruce Sterling,The Difference Engine
1990,Dan Simmons,Hyperion
1990,Mary Gentle,Rats and Gargoyles
1990,Iain M. Banks,Use of Weapons
1991,Dan Simmons*,The Fall of Hyperion
1991,Mary Gentle,The Architecture of Desire
1991,Paul J. McAuley,Eternal Light
1992,Kim Stanley Robinson*,Red Mars
1992,Connie Willis,Doomsday Book
1992,Ian McDonald,"Hearts, Hands and Voices"
1992,Simon Ings,Hot Head
1992,Lisa Tuttle,Lost Futures
1993,Christopher Evans*,Aztec Century
1993,Nicola Griffith,Ammonite
1993,Kim Stanley Robinson,Green Mars
1993,Colin Greenland,Harm's Way
1993,Neal Stephenson,Snow Crash
1994,Iain M. Banks*,Feersum Endjinn
1994,Eric Brown,Engineman
1994,Ian McDonald,Necroville
1994,Gwyneth Jones,North Wind
1994,Greg Egan,Permutation City
1995,Stephen Baxter*,The Time Ships
1995,Michael Moorcock,Blood
1995,Ian McDonald,Chaga
1995,Paul J. McAuley,Fairyland
1995,Peter F. Hamilton,The Nano Flower
1995,Christopher Priest,The Prestige
1996,Iain M. Banks*,Excession
1996,Kim Stanley Robinson,Blue Mars
1996,Bruce Sterling,Holy Fire
1996,Stephen Bury,Interface
1996,Gill Alderman,The Memory Palace
1996,Ken MacLeod,The Stone Canal
1997,Mary Doria Russell*,The Sparrow
1997,Tim Powers,Earthquake Weather
1997,Michael Swanwick,Jack Faust
1997,Jack Deighton,A Son of the Rock
1998,Christopher Priest*,The Extremes
1998,Ken MacLeod,The Cassini Division
1998,Iain M. Banks,Inversions
1998,Kathleen Ann Goonan,Queen City Jazz
1998,John Meaney,To Hold Infinity
1999,Ken MacLeod*,The Sky Road
1999,Mary Doria Russell,Children of God
1999,Simon Ings,Headlong
1999,Justina Robson,Silver Screen
1999,Eugene Byrne,ThigMOO
2000,Mary Gentle*,Ash: A Secret History
2000,John Meaney,Paradox
2000,China Miéville,Perdido Street Station
2000,Jon Courtenay Grimwood,redRobe
2000,Alastair Reynolds,Revelation Space
2001,Alastair Reynolds*,Chasm City
2001,Neil Gaiman,American Gods
2001,Gwyneth Jones,Bold as Love
2001,Geoff Ryman,Lust
2001,Jon Courtenay Grimwood,Pashazade: The First Arabesk
2001,Paul McAuley,The Secret of Life
2002,Christopher Priest*,The Separation
2002,Gwyneth Jones,Castles Made of Sand
2002,Jon Courtenay Grimwood,Effendi: The Second Arabesk
2002,M. John Harrison,Light
2002,China Miéville,The Scar
2002,Kim Stanley Robinson,The Years of Rice and Salt
2003,Jon Courtenay Grimwood*,Felaheen: The Third Arabesk
2003,Alastair Reynolds,Absolution Gap
2003,Tricia Sullivan,Maul
2003,Gwyneth Jones,Midnight Lamp
2003,Justina Robson,Natural History
2003,William Gibson,Pattern Recognition
2004,Ian McDonald*,River of Gods
2004,Alastair Reynolds,Century Rain
2004,Kim Stanley Robinson,Forty Signs of Rain
2004,Susanna Clarke,Jonathan Strange & Mr Norrell
2004,Ken MacLeod,Newton's Wake
2004,Jon Courtenay Grimwood,Stamping Butterflies
2005,Geoff Ryman*,Air
2005,Jon Courtenay Grimwood,9tail Fox
2005,Charles Stross,Accelerando
2005,Ken MacLeod,Learning the World
2005,Justina Robson,Living Next Door to the God of Love
2006,Jon Courtenay Grimwood*,End of the World Blues
2006,Liz Williams,Darkland
2006,Roger Levy,Icarus
2006,James Morrow,The Last Witchfinder
2006,M. John Harrison,Nova Swing
2007,Ian McDonald*,Brasyl
2007,Bryan Talbot,Alice in Sunderland
2007,Richard Morgan,Black Man
2007,Ken MacLeod,The Execution Channel
2007,Alastair Reynolds,The Prefect
2007,Michael Chabon,The Yiddish Policemen's Union
2008,Ken MacLeod*,The Night Sessions
2008,Neal Stephenson,Anathem
2008,Stephen Baxter,Flood
2008,Nick Harkaway,The Gone-Away World
2009,China Miéville*,The City & the City
2009,Stephen Baxter,Ark
2009,Ursula K. Le Guin,Lavinia
2009,Adam Roberts,Yellow Blue Tibia
2010,Ian McDonald*,The Dervish House
2010,Tricia Sullivan,Lightborn
2010,Ken MacLeod,The Restoration Game
2010,Paolo Bacigalupi,The Windup Girl
2010,Lauren Beukes,Zoo City
2011,Christopher Priest*,The Islanders
2011,Adam Roberts,By Light Alone
2011,Kim Lakin-Smith,Cyber Circus
2011,China Miéville,Embassytown
2011,Lavie Tidhar,Osama
2012,Adam Roberts*,Jack Glass
2012,Kim Stanley Robinson,2312
2012,Chris Beckett,Dark Eden
2012,M. John Harrison,Empty Space
2012,Ken MacLeod,Intrusion
2013,Ann Leckie*,Ancillary Justice
2013,Gareth L. Powell*,Ack-Ack Macaque
2013,Christopher Priest,The Adjacent
2013,Paul McAuley,Evening's Empires
2013,Kameron Hurley,God's War
2014,Ann Leckie*,Ancillary Sword
2014,Frances Hardinge,Cuckoo Song
2014,Dave Hutchinson,Europe in Autumn
2014,Claire North,The First Fifteen Lives of Harry August
2014,Nnedi Okorafor,Lagoon
2014,Neil Williamson,The Moon King
2014,Nina Allan,The Race
2014,Simon Ings,Wolves
2015,Aliette de Bodard*,The House of Shattered Wings
2015,Dave Hutchinson,Europe at Midnight
2015,Justina Robson,Glorious Angels
2015,Ian McDonald,Luna: New Moon
2015,Chris Beckett,Mother of Eden
2016,Dave Hutchinson*,Europe in Winter
2016,Nick Wood,Azanian Bridges
2016,Becky Chambers,A Closed and Common Orbit
2016,Chris Beckett,Daughter of Eden
2016,Tricia Sullivan,Occupy Me
2017,Nina Allan*,The Rift
2017,Anne Charnock,Dreams Before the Start of Time
2017,Mohsin Hamid,Exit West
2017,Ann Leckie,Provenance
2018,Gareth L. Powell*,Embers of War
2018,Dave Hutchinson,Europe at Dawn
2018,Yoon Ha Lee,Revenant Gun
2018,Emma Newman,Before Mars
2018,Tade Thompson,Rosewater
2019,Adrian Tchaikovsky*,Children of Ruin
2019,Juliet E. McKenna,The Green Man’s Foe
2019,Emma Newman,Atlas Alone
2019,Gareth L. Powell,Fleet of Knives
2019,Tade Thompson,The Rosewater Insurrection
2020,N. K. Jemisin*,The City We Became
2020,Tiffani Angus,Threading the Labyrinth
2020,Susanna Clarke,Piranesi
2020,M. John Harrison,The Sunken Land Begins to Rise Again
2020,Gareth L. Powell,Light of Impossible Stars
2020,Kim Stanley Robinson,The Ministry for the Future
2020,Nikhil Singh,Club Ded
2020,Adrian Tchaikovsky,The Doors of Eden
2020,Liz Williams,Comet Weather
2020,Nick Wood,Water Must Fall
2021,Adrian Tchaikovsky*,Shards of Earth
2021,Liz Williams,Blackthorn Winter
2021,Arkady Martine,A Desolation Called Peace
2021,Aliya Whiteley,Skyward Inn
2021,Adam Roberts,Purgatory Mount
2021,Juliet E. McKenna,The Green Man's Challenge
2022,Adrian Tchaikovsky*,City of Last Chances
2022,Adam Roberts,The This
2022,Gareth L. Powell,Stars and Bones
2022,Aliette de Bodard,The Red Scholar’s Wake
2022,E.J. Swift,The Coral Bones
