Year,Author,Novel
1953,Alfred Bester*,The Demolished Man
1955,Mark Clifton* ,They'd Rather Be Right (also known as The Forever Machine) 
1956,Robert A. Heinlein*,Double Star
1956,Eric Frank Russell,Call Him Dead (also known as Three to Conquer)
1956,Isaac Asimov,The End of Eternity
1956,Cyril M. Kornbluth,Not This August
1956,Leigh Brackett,The Long Tomorrow
1958,Fritz Leiber*,The Big Time
1959,James Blish*,A Case of Conscience
1959,Poul Anderson,We Have Fed Our Sea (also known as The Enemy Stars)
1959,Algis Budrys,Who?
1959,Robert A. Heinlein,Have Space Suit — Will Travel
1959,Robert Sheckley,"Time Killer (also known as Immortality, Inc.)"
1960,Robert A. Heinlein*,Starship Troopers
1960,Gordon R. Dickson,Dorsai! (also known as The Genetic General)
1960,Murray Leinster,The Pirates of Ersatz (also known as The Pirates of Zan)
1960,Mark Phillips,That Sweet Little Old Lady (also known as Brain Twister)
1960,Kurt Vonnegut,The Sirens of Titan
1961,"Walter M. Miller, Jr.*",A Canticle for Leibowitz
1961,Poul Anderson,The High Crusade
1961,Algis Budrys,Rogue Moon
1961,Harry Harrison,Deathworld
1961,Theodore Sturgeon,Venus Plus X
1962,Robert A. Heinlein*,Stranger in a Strange Land
1962,Daniel F. Galouye,Dark Universe
1962,Harry Harrison,Planet of the Damned (also known as Sense of Obligation)
1962,Clifford D. Simak,The Fisherman (also known as Time is the Simplest Thing)
1962,James White,Second Ending
1963,Philip K. Dick*,The Man in the High Castle
1963,Marion Zimmer Bradley,The Sword of Aldones
1963,Arthur C. Clarke,A Fall of Moondust
1963,H. Beam Piper,Little Fuzzy
1963,Jean Bruller (French)[a] ,Sylva
1964,Clifford D. Simak*,Here Gather the Stars (also known as Way Station)
1964,Robert A. Heinlein,Glory Road
1964,Andre Norton,Witch World
1964,Frank Herbert,Dune World[b]
1964,Kurt Vonnegut,Cat's Cradle
1965,Fritz Leiber*,The Wanderer
1965,John Brunner,The Whole Man
1965,Edgar Pangborn,Davy
1965,Cordwainer Smith,The Planet Buyer (also known as The Boy Who Bought Old Earth)
1966,Frank Herbert*,Dune
1966,Roger Zelazny*,...And Call Me Conrad (also known as This Immortal)
1966,John Brunner,The Squares of the City
1966,Robert A. Heinlein,The Moon Is a Harsh Mistress[c]
1966,Edward E. Smith,Skylark DuQuesne
1967,Robert A. Heinlein*,The Moon Is a Harsh Mistress[c]
1967,Samuel R. Delany,Babel-17
1967,Randall Garrett,Too Many Magicians
1967,Daniel Keyes,Flowers for Algernon
1967,James H. Schmitz,The Witches of Karres
1967,Thomas Burnett Swann,Day of the Minotaur
1968,Roger Zelazny*,Lord of Light
1968,Samuel R. Delany,The Einstein Intersection
1968,Piers Anthony,Chthon
1968,Chester Anderson,The Butterfly Kid
1968,Robert Silverberg,Thorns
1969,John Brunner*,Stand on Zanzibar
1969,Alexei Panshin,Rite of Passage
1969,Samuel R. Delany,Nova
1969,R. A. Lafferty,Past Master
1969,Clifford D. Simak,The Goblin Reservation
1970,Ursula K. Le Guin*,The Left Hand of Darkness
1970,Robert Silverberg,Up the Line
1970,Piers Anthony,Macroscope
1970,Kurt Vonnegut,Slaughterhouse-Five
1970,Norman Spinrad,Bug Jack Barron
1971,Larry Niven*,Ringworld
1971,Poul Anderson,Tau Zero
1971,Robert Silverberg,Tower of Glass
1971,Wilson Tucker,The Year of the Quiet Sun
1971,Hal Clement,Star Light
1972,Philip José Farmer*,To Your Scattered Bodies Go
1972,Ursula K. Le Guin,The Lathe of Heaven
1972,Anne McCaffrey,Dragonquest
1972,Roger Zelazny,Jack of Shadows
1972,Robert Silverberg,A Time of Changes
1973,Isaac Asimov*,The Gods Themselves
1973,David Gerrold,When HARLIE Was One
1973,Poul Anderson,There Will Be Time
1973,Robert Silverberg,The Book of Skulls
1973,Robert Silverberg,Dying Inside
1973,Clifford D. Simak,A Choice of Gods
1974,Arthur C. Clarke*,Rendezvous with Rama
1974,Robert A. Heinlein,Time Enough for Love
1974,Larry Niven,Protector
1974,Poul Anderson,The People of the Wind
1974,David Gerrold,The Man Who Folded Himself
1975,Ursula K. Le Guin*,The Dispossessed
1975,Poul Anderson,Fire Time
1975,Philip K. Dick,"Flow My Tears, the Policeman Said"
1975,Larry Niven ,The Mote in God's Eye 
1975,Jerry Pournelle ,
1975,Christopher Priest,Inverted World
1976,Joe Haldeman*,The Forever War
1976,Roger Zelazny,Doorways in the Sand
1976,Larry Niven ,Inferno 
1976,Jerry Pournelle ,
1976,Alfred Bester,The Computer Connection (also known as The Indian Giver)
1976,Robert Silverberg,The Stochastic Man
1977,Kate Wilhelm*,Where Late the Sweet Birds Sang
1977,Joe Haldeman,Mindbridge
1977,Frank Herbert,Children of Dune
1977,Frederik Pohl,Man Plus
1977,Robert Silverberg,Shadrach in the Furnace
1978,Frederik Pohl*,Gateway
1978,Marion Zimmer Bradley,The Forbidden Tower
1978,Larry Niven ,Lucifer's Hammer 
1978,Jerry Pournelle ,
1978,Gordon R. Dickson,Time Storm
1978,George R. R. Martin,Dying of the Light
1979,Vonda N. McIntyre*,Dreamsnake
1979,Anne McCaffrey,The White Dragon
1979,C. J. Cherryh,The Faded Sun: Kesrith
1979,Tom Reamy,Blind Voices
1980,Arthur C. Clarke*,The Fountains of Paradise
1980,John Varley,Titan
1980,Frederik Pohl,Jem
