Year,Author,Novel
1973,Barry N. Malzberg*,Beyond Apollo
1973,James E. Gunn,The Listeners
1973,Christopher Priest,Darkening Island
1974,Robert Merle*,Malevil
1974,Arthur C. Clarke*,Rendezvous with Rama
1974,Ian Watson,The Embedding
1974,Peter Dickinson,The Green Gene
1975,Philip K. Dick*,"Flow My Tears, the Policeman Said"
1975,Ursula K. Le Guin,The Dispossessed
1976,(no award)+,
1976,Robert Silverberg,The Stochastic Man
1976,Bob Shaw,Orbitsville
1977,Kingsley Amis*,The Alteration
1977,Frederik Pohl,Man Plus
1977,Kate Wilhelm,Where Late the Sweet Birds Sang
1978,Frederik Pohl*,Gateway
1978,Arkady and Boris Strugatsky,Roadside Picnic and Tale of the Troika
1978,Philip K. Dick,A Scanner Darkly
1979,Michael Moorcock*,Gloriana
1979,Paddy Chayefsky,Altered States
1979,Donald R. Bensen,And Having Writ...
1980,Thomas M. Disch*,On Wings of Song
1980,John Crowley,Engine Summer
1980,J. G. Ballard,The Unlimited Dream Company
1981,Gregory Benford*,Timescape
1981,Damien Broderick,The Dreaming Dragons
1981,Gene Wolfe,The Shadow of the Torturer
1982,Russell Hoban*,Riddley Walker
1983,Brian W. Aldiss*,Helliconia Spring
1983,Michael Bishop,No Enemy But Time
1984,Gene Wolfe*,The Citadel of the Autarch
1984,John Batchelor,The Birth of the People's Republic of Antarctica
1984,John Sladek,Tik-Tok
1985,Frederik Pohl*,The Years of the City
1985,Lucius Shepard,Green Eyes
1985,William Gibson,Neuromancer
1986,David Brin*,The Postman
1986,Kurt Vonnegut,Galápagos
1986,Greg Bear,Blood Music
1986,Keith Roberts,Kiteworld
1987,Joan Slonczewski*,A Door into Ocean
1987,James K. Morrow,This Is the Way the World Ends
1987,Orson Scott Card,Speaker for the Dead
1988,Connie Willis*,Lincoln's Dreams
1988,George Turner,The Sea and Summer
1988,Geoff Ryman,The Unconquered Country
1989,Bruce Sterling*,Islands in the Net
1989,Kim Stanley Robinson,The Gold Coast
1989,Anne McCaffrey,Dragonsdawn
1990,Geoff Ryman*,The Child Garden
1990,K. W. Jeter,Farewell Horizontal
1990,John Kessel,Good News From Outer Space
1991,Kim Stanley Robinson*,Pacific Edge
1991,Greg Bear,Queen of Angels
1991,James K. Morrow,Only Begotten Daughter
1992,Bradley Denton*,Buddy Holly Is Alive and Well on Ganymede
1992,William Gibson ,The Difference Engine 
1992,Bruce Sterling ,
1992,Charles Platt,The Silicon Man
1992,Michael Swanwick,Stations of the Tide
1993,Charles Sheffield*,Brother to Dragons
1993,Sheri S. Tepper,Sideshow
1993,Vernor Vinge,A Fire Upon the Deep
1994,(no award)+,
1994,Nancy Kress,Beggars in Spain
1994,Greg Bear,Moving Mars
1995,Greg Egan*,Permutation City
1995,Michael Bishop,Brittle Innings
1995,Stephen Baxter*,The Time Ships
1995,Neal Stephenson,The Diamond Age
1995,Ian McDonald,Chaga
1997,Paul J. McAuley*,Fairyland
1997,Kim Stanley Robinson,Blue Mars
1997,Mary Doria Russell,The Sparrow
1998,Joe Haldeman*,Forever Peace
1998,Greg Bear,Slant
1998,Paul Preuss,Secret Passages
1999,George Zebrowski*,Brute Orbits
1999,Poul Anderson,Starfarers
1999,Bruce Sterling,Distraction
2000,Vernor Vinge*,A Deepness in the Sky
2000,Greg Bear,Darwin's Radio
2000,Norman Spinrad,Greenhouse Summer
2000,Jack Williamson,The Silicon Dagger
2000,Peter Watts,Starfish
2001,Poul Anderson*,Genesis
2001,Mary Gentle,Ash: A Secret History
2001,Robert J. Sawyer,Calculating God
2001,Jack McDevitt,Infinity Beach
2001,Sheri S. Tepper,The Fresco
2002,Robert Charles Wilson*,The Chronoliths
2002,Jack Williamson*,Terraforming Earth
2002,Nancy Kress,Probability Sun
2002,Ken MacLeod,Dark Light
2002,Jack McDevitt,Deepsix
2002,Peter F. Hamilton,Fallen Dragon
2002,C. J. Cherryh,Hammerfall
2002,Paul Johnston,The House of Dust
2002,Scott Mackay,The Meek
2002,Maureen F. McHugh,Nekropolis
2002,Jon Courtenay Grimwood,Pashazade: The First Arabesk
2002,Connie Willis,Passage
2003,Nancy Kress*,Probability Space
2003,David Brin,Kiln People
2003,Robert J. Sawyer,Hominids
2003,Michael Swanwick,Bones of the Earth
2003,Brian Stableford,Dark Ararat
2003,John C. Wright,The Golden Age
2003,Steven Barnes,Lion's Blood
2003,Christopher Priest,The Separation
2003,Sheri S. Tepper,The Visitor
2003,Greg Bear,Vitals
2004,Jack McDevitt*,Omega
2004,Justina Robson,Natural History
2004,Philip Baruth,The X President
2004,Kay Kenyon,The Braided World
2004,Syne Mitchell,The Changeling Plague
2004,Sheri S. Tepper,The Companions
2004,Greg Bear,Darwin's Children
2004,Max Barry,Jennifer Government
2004,Linda Nagata,Memory
2004,John Varley,Red Thunder
2004,Robert Reed,Sister Alice
2004,Mike Brotherton,Star Dragon
2004,Amy Thomson,Storyteller
2004,James Lovegrove,Untied Kingdom
2004,Michael F. Flynn,The Wreck of The River of Stars
2005,Richard Morgan*,Market Forces
2005,Geoff Ryman,Air
2005,Audrey Niffenegger,The Time Traveler's Wife
2005,Frederik Pohl,The Boy Who Would Live Forever
2005,Louise Marley,The Child Goddess
2005,Karen Traviss,City of Pearl
2005,John Barnes,Gaudeamus
2005,Ken MacLeod,Newton's Wake
2005,Philip Roth,The Plot Against America
2005,Jack Dann,The Rebel
2005,Robert Reed,The Well of Stars
2005,Paul J. McAuley,White Devils
2006,Robert J. Sawyer*,Mindscan
2006,Robert Charles Wilson,Spin
2006,Ian R. MacLeod,The Summer Isles
2006,Charles Stross,Accelerando
2006,David Gerrold,Child of Earth
2006,David Marusek,Counting Heads
2006,Ken MacLeod,Learning the World
2006,Steve Cash,The Meq
2006,Paul J. McAuley,Mind's Eye
2006,Jack McDevitt,Seeker
2006,Stephen Baxter,Transcendent
2006,Karen Traviss,The World Before
2007,Ben Bova*,Titan
2007,James K. Morrow,The Last Witchfinder
2007,Peter Watts,Blindsight
2007,Jo Walton,Farthing
2007,Barbara Sapergia,Dry
2007,Charles Stross,Glasshouse
2007,David Louis Edelman,Infoquake
2007,Justina Robson,Living Next Door to the God of Love
2007,M. John Harrison,Nova Swing
2007,Jack McDevitt,Odyssey
2007,Vernor Vinge,Rainbows End
2007,Nick DiChario,A Small and Remarkable Life
2007,Karl Schroeder,Sun of Suns
2008,Kathleen Ann Goonan*,In War Times
2008,Michael Chabon,The Yiddish Policemen's Union
