Year,Author,Novel
1966 ,Frank Herbert*,Dune
1966 ,Clifford D. Simak,All Flesh is Grass
1966 ,Theodore L. Thomas ,The Clone
1966 ,Kate Wilhelm ,
1966 ,Philip K. Dick,"Dr. Bloodmoney, or How We Got Along After the Bomb"
1966 ,James White,The Escape Orbit
1966 ,Thomas M. Disch,The Genocides
1966 ,William S. Burroughs,Nova Express
1966 ,Keith Laumer,A Plague of Demons
1966 ,Avram Davidson,Rogue Dragon
1966 ,G. C. Edmondson,The Ship That Sailed the Time Stream
1966 ,Poul Anderson,The Star Fox
1966 ,Philip K. Dick,The Three Stigmata of Palmer Eldritch
1967 ,Samuel R. Delany*,Babel-17
1967 ,Daniel Keyes*,Flowers for Algernon
1967 ,Robert A. Heinlein,The Moon Is a Harsh Mistress
1968 ,Samuel R. Delany*,The Einstein Intersection
1968 ,Piers Anthony,Chthon
1968 ,Hayden Howard,The Eskimo Invasion
1968 ,Roger Zelazny,Lord of Light
1968 ,Robert Silverberg,Thorns
1969 ,Alexei Panshin*,Rite of Passage
1969 ,James Blish,Black Easter
1969 ,Philip K. Dick,Do Androids Dream of Electric Sheep?
1969 ,Robert Silverberg,The Masks of Time
1969 ,R. A. Lafferty,Past Master
1969 ,Joanna Russ,Picnic on Paradise
1969 ,John Brunner,Stand on Zanzibar
1970 ,Ursula K. Le Guin*,The Left Hand of Darkness
1970 ,Norman Spinrad,Bug Jack Barron
1970 ,Roger Zelazny,Isle of the Dead
1970 ,John Brunner,The Jagged Orbit
1970 ,Kurt Vonnegut,Slaughterhouse-Five
1970 ,Robert Silverberg,Up the Line
1971 ,Larry Niven*,Ringworld
1971 ,Joanna Russ,And Chaos Died
1971 ,R. A. Lafferty,Fourth Mansions
1971 ,David G. Compton,The Steel Crocodile
1971 ,Robert Silverberg,Tower of Glass
1971 ,Wilson Tucker,The Year of the Quiet Sun
1972 ,Robert Silverberg*,A Time of Changes
1972 ,Poul Anderson,The Byworlder
1972 ,R. A. Lafferty,The Devil is Dead
1972 ,T. J. Bass,Half Past Human
1972 ,Ursula K. Le Guin,The Lathe of Heaven
1972 ,Kate Wilhelm,Margaret and I
1973 ,Isaac Asimov*,The Gods Themselves
1973 ,Robert Silverberg,The Book of Skulls
1973 ,Robert Silverberg,Dying Inside
1973 ,Norman Spinrad,The Iron Dream
1973 ,John Brunner,The Sheep Look Up
1973 ,George Alec Effinger,What Entropy Means to Me
1973 ,David Gerrold,When HARLIE Was One
1974 ,Arthur C. Clarke*,Rendezvous with Rama
1974 ,Thomas Pynchon,Gravity's Rainbow
1974 ,David Gerrold,The Man Who Folded Himself
1974 ,Poul Anderson,The People of the Wind
1974 ,Robert A. Heinlein,Time Enough for Love
1975 ,Ursula K. Le Guin*,The Dispossessed
1975 ,Thomas M. Disch,334
1975 ,Philip K. Dick,"Flow My Tears, the Policeman Said"
1975 ,T. J. Bass,The Godwhale
1976 ,Joe Haldeman*,The Forever War
1976 ,Arthur Byron Cover,Autumn Angels
1976 ,Tanith Lee,The Birthgrave
1976 ,Alfred Bester,The Computer Connection
1976 ,Samuel R. Delany,Dhalgren
1976 ,Roger Zelazny,Doorways in the Sand
1976 ,Ian Watson,The Embedding
1976 ,Vonda N. McIntyre,The Exile Waiting
1976 ,Joanna Russ,The Female Man
1976 ,Michael Bishop,A Funeral for the Eyes of Fire
1976 ,Barry N. Malzberg,Guernica Night
1976 ,Marion Zimmer Bradley,The Heritage of Hastur
1976 ,Italo Calvino,Invisible Cities
1976 ,Poul Anderson,A Midsummer Tempest
1976 ,Katherine MacLean,Missing Man
1976 ,Larry Niven ,The Mote in God's Eye 
1976 ,Jerry Pournelle ,
1976 ,E. L. Doctorow,Ragtime
1976 ,Robert Silverberg,The Stochastic Man
1977 ,Frederik Pohl*,Man Plus
1977 ,Larry Niven ,Inferno 
1977 ,Jerry Pournelle ,
1977 ,Marta Randall,Islands
1977 ,Robert Silverberg,Shadrach in the Furnace
1977 ,Samuel R. Delany,Triton
1977 ,Kate Wilhelm,Where Late the Sweet Birds Sang
1978 ,Frederik Pohl*,Gateway
1978 ,Terry Carr,Cirque
1978 ,Gregory Benford,In the Ocean of Night
1978 ,David Gerrold,Moonstar Odyssey
1978 ,Richard A. Lupoff,Sword of the Demon
