Year,Author,Novel
1939,T. H. White*,The Sword in the Stone
1939,Edgar Rice Burroughs,Carson of Venus
1939,E. E. Smith,Galactic Patrol
1939,Jack Williamson,The Legion of Time
1939,C. S. Lewis,Out of the Silent Planet
1941,A. E. van Vogt*,Slan
1941,E. E. Smith,Gray Lensman
1941,T. H. White,The Ill-Made Knight
1941,Karin Boye,Kallocain
1941,Jack Williamson,The Reign of Wizardry
1943,Robert A. Heinlein (as Anson MacDonald)*,Beyond This Horizon
1943,Olaf Stapledon,Darkness and the Light
1943,Curt Siodmak,Donovan's Brain
1943,Austin Tappan Wright,Islandia
1943,E. E. Smith,Second Stage Lensmen
1943,Dorothy Macardle,The Uninvited
1944,Fritz Leiber*,Conjure Wife
1944,C. L. Moore ,Earth's Last Citadel 
1944,Henry Kuttner ,
1944,Fritz Leiber,"Gather, Darkness!"
1944,Hermann Hesse,Das Glasperlenspiel (The Glass Bead Game)
1944,C. S. Lewis,Perelandra
1944,A. E. van Vogt,The Weapon Makers
1945,Leigh Brackett*,"""Shadow Over Mars"" (The Nemesis from Terra)"
1945,Robert Graves,The Golden Fleece
1945,Edgar Rice Burroughs,Land of Terror
1945,Olaf Stapledon,Sirius: A Fantasy of Love and Discord
1945,Eric Linklater,The Wind on the Moon
1945,A. E. van Vogt ,"""The Winged Man"""
1945,Edna Mayne Hull ,
1946,Isaac Asimov*,The Mule
1946,A. E. van Vogt,The World of Null-A
1946,C. S. Lewis,That Hideous Strength (also known as The Tortured Planet)
1946,Fritz Leiber,Destiny Times Three
1946,Edmond Hamilton (as Brett Sterling),Red Sun of Danger (also known as Danger Planet)
1951,Robert A. Heinlein*,Farmer in the Sky
1951,Isaac Asimov,Pebble in the Sky
1951,C. S. Lewis,"The Lion, the Witch and the Wardrobe"
1951,E. E. Smith,First Lensman
1951,Jack Vance,The Dying Earth
1954,Ray Bradbury*,Fahrenheit 451
1954,Arthur C. Clarke,Childhood's End
1954,Hal Clement,Mission of Gravity
1954,Isaac Asimov,The Caves of Steel
1954,Theodore Sturgeon,More Than Human
